Malayalam 3,,Bharati
ജനാല,,39:24:39:6:11:9:3:40:40
കസേര,,39:28:39:8:17:16:40:40:40
കുശിനി,,37:29:29:8:17:11:40:2:40
പാതിരി,,24:29:29:15:19:16:40:40:40
സവാള,,39:24:39:17:20:9:40:40:2
തീരുവ,,30:37:39:19:16:20:40:40:40
തൂവാല,,38:24:39:19:20:9:40:40:40
വികാരി,,29:24:29:20:8:16:40:40:40
സവോള,,39:34:39:17:20:9:40:40:2
പെസഹ,,27:39:39:15:17:7:40:40:40
മാലാഖ,,24:24:39:10:9:8:40:40:0
കൂദാശ,,38:24:39:8:19:17:40:3:2
മിശിഹ,,29:29:39:10:17:7:40:2:40
ആരതി,,24:39:29:5:16:19:40:40:40
പാവാട,,24:24:39:15:20:18:40:40:40
അവധി,,39:39:29:5:20:19:40:40:4
ഇവിടെ,,29:29:27:5:20:18:40:40:40
അവിടെ,,39:29:27:5:20:18:40:40:40
മാളിക,,24:29:39:10:9:8:40:2:40
ഭാവന,,24:39:39:15:20:11:4:40:40
കവിത,,39:29:39:8:20:19:40:40:40
ജനാല,,39:24:39:6:11:9:3:40:40
കുശിനി,,37:29:29:8:17:11:40:2:40
തൂവാല,,38:24:39:19:20:9:40:40:40
മാലാഖ,,24:24:39:10:9:8:40:40:0
വളരെ,,39:39:27:20:9:16:40:2:40
ആരതി,,24:39:29:5:16:19:40:40:40
പാവാട,,24:24:39:15:20:18:40:40:40
കവിത,,39:29:39:8:20:19:40:40:40
മുളക്,,37:39:0:10:9:8:40:2:40
കിടാവ്,,29:24:0:8:18:20:40:40:40
നിലാവ്,,29:24:0:11:9:20:40:40:40
താമര,,24:39:39:19:10:16:40:40:40
പാട്ട്,,24:41:0:15:18:18:40:40:40
ഉള്ളി,,37:41:29:5:9:9:40:2:2
ബിന്ദു,,29:41:37:15:11:19:3:40:3
മാങ്ങ,,24:41:39:10:12:12:40:40:40
ചക്ക,,39:41:39:6:8:8:40:40:40
തേങ്ങ,,28:41:39:19:12:12:40:40:40
അമ്മ,,39:41:39:5:10:10:40:40:40
ചേച്ചി,,28:41:29:6:6:6:40:40:40
തത്ത,,39:41:39:19:19:19:40:40:40
കാക്ക,,24:41:39:8:8:8:40:40:40
പൂച്ച,,38:41:39:15:6:6:40:40:40
വെള്ളി,,27:41:29:20:9:9:40:2:2
ഒന്ന്,,33:41:0:5:11:11:40:40:40
രണ്ട്,,39:41:0:16:13:18:40:40:40
മുന്ന്,,37:41:0:10:11:11:40:40:40
അഞ്ച്,,39:41:0:5:14:6:40:40:40
എട്ട്,,27:41:0:5:18:18:40:40:40
പത്ത്,,39:41:0:15:19:19:40:40:40
ഇന്ന്,,29:41:0:5:11:11:40:40:40
പഴം,,39:39:39:15:9:3:40:2:40
ഉള്ളി,,37:41:29:5:9:9:40:2:2
പച്ച,,39:41:39:15:6:6:40:40:40
വെള്ള,,27:41:39:20:9:9:40:2:2
റൊട്ടി,,33:41:29:16:18:18:2:40:40
കുട്ടി,,37:41:29:8:18:18:40:40:40
സ്ത്രീ,,41:41:30:17:19:16:40:40:40
അമ്മ,,39:41:39:5:10:10:40:40:40
പട്ടി,,39:41:29:15:18:18:40:40:40
പക്ഷി,,39:41:29:15:8:17:40:40:2
